date,open,high,low,close,volume
2023-11-06,40.68,40.82,39.14,39.77,21315693
2023-11-03,39.189,40.74,39.1,40.44,28343102
2023-11-02,37.09,38.3,37.05,38.28,28629714
2023-11-01,35.25,35.36,34.54,35.31,17265784
2023-10-31,34.34,35.22,34.08,35.08,10991937
2023-10-30,34.53,34.8001,33.76,34.29,13990256
2023-10-27,35.28,35.4297,34.07,34.1,14793016
2023-10-26,35.27,35.71,34.43,34.76,20928877
2023-10-25,36.68,36.79,35.175,35.22,17377386
2023-10-24,36.77,37.96,36.77,37.17,17580652
2023-10-23,35.67,36.815,35.1,36.11,19262823
2023-10-20,36.52,36.76,35.88,36.03,18021816
2023-10-19,37.43,37.63,36.52,36.61,21633818
2023-10-18,38.78,38.87,37.375,37.43,16694699
2023-10-17,38.0,39.4362,38.0,39.18,13700768
2023-10-16,38.03,38.68,37.59,38.53,13624387
2023-10-13,38.43,38.55,37.565,37.77,13091431
2023-10-12,39.9699,39.9699,38.28,38.48,14137716
2023-10-11,40.37,40.77,39.49,39.9,12459783
2023-10-10,39.44,40.81,39.44,40.19,14549761
2023-10-09,38.47,39.47,38.335,39.36,11205833
2023-10-06,37.84,39.34,37.78,39.21,16356720
2023-10-05,38.392,38.75,37.745,38.54,12411175
2023-10-04,38.12,38.67,37.55,38.53,15404478
2023-10-03,38.53,39.09,37.76,37.97,17963176
2023-10-02,39.69,39.91,38.78,39.04,17508354
2023-09-29,39.84,40.245,39.48,39.67,17449491
2023-09-28,38.7,39.55,38.2,39.12,15932110
2023-09-27,39.01,39.21,38.135,38.68,16236401
2023-09-26,38.56,39.25,38.36,38.43,16883107
2023-09-25,38.55,39.0805,38.365,38.8,11853783
2023-09-22,39.99,40.09,38.795,38.82,13292771
2023-09-21,39.99,40.17,39.525,39.54,16408381
2023-09-20,41.73,42.07,40.755,40.78,13617134
2023-09-19,41.87,41.965,41.082,41.51,11382885
2023-09-18,42.93,42.9301,42.01,42.01,10385299
2023-09-15,43.51,43.715,42.72,43.06,12787007
2023-09-14,43.67,44.0,43.22,43.61,9560631
2023-09-13,43.87,44.2197,43.285,43.43,10480240
2023-09-12,44.24,45.16,44.01,44.01,11424721
2023-09-11,44.22,44.81,43.87,44.6,11086352
2023-09-08,44.0,44.395,43.425,43.68,11199651
2023-09-07,43.29,44.13,42.9704,44.01,11734078
2023-09-06,44.25,44.69,43.69,44.17,12236539
2023-09-05,43.28,44.1173,43.165,44.01,9165759
2023-09-01,44.11,44.33,43.49,43.62,13674272
2023-08-31,43.83,44.1,43.4,43.75,11163662
2023-08-30,43.06,43.76,42.71,43.61,9477538
2023-08-29,41.08,43.415,40.87,43.31,20413835
2023-08-28,41.36,41.595,40.88,41.08,9120813
2023-08-25,40.49,41.34,40.14,40.97,17067541
2023-08-24,42.2494,42.3,40.42,40.47,16708057
2023-08-23,41.0,42.11,40.92,41.96,11937763
2023-08-22,41.59,41.73,40.57,41.01,11940784
2023-08-21,40.6,41.19,40.34,41.1,16309879
2023-08-18,39.35,40.77,39.32,40.38,21619704
2023-08-17,41.29,41.29,40.2201,40.24,16288106
2023-08-16,42.0,42.125,41.23,41.24,13777084
2023-08-15,42.63,42.81,42.12,42.17,11844763
2023-08-14,42.24,42.94,41.88,42.92,9937470
2023-08-11,42.46,43.11,42.35,42.75,12415032
2023-08-10,43.78,44.28,42.6327,42.98,19520392
2023-08-09,44.78,44.82,43.24,43.29,18186278
2023-08-08,44.48,45.01,44.141,44.91,14785158
2023-08-07,45.54,45.6,44.24,45.15,17416212
2023-08-04,46.45,46.65,45.29,45.38,18265261
2023-08-03,46.13,46.59,45.86,46.19,16362147
2023-08-02,48.1701,48.18,46.33,46.69,24820434
2023-08-01,49.81,49.83,48.67,49.45,14716297
2023-07-31,49.78,50.4891,49.69,50.45,13604767
2023-07-28,48.11,49.44,47.98,49.44,17747222
2023-07-27,49.37,49.42,46.665,46.87,19613693
2023-07-26,47.18,48.52,47.03,48.28,13412676
2023-07-25,47.6,48.125,47.241,47.27,9332339
2023-07-24,47.83,48.05,46.905,47.41,11815018
2023-07-21,48.388,48.62,47.39,47.93,15793707
2023-07-20,49.74,50.08,47.59,47.76,26694647
2023-07-19,50.46,51.33,49.96,50.65,18358528
2023-07-18,49.85,50.155,49.435,49.86,12654679
2023-07-17,48.57,49.89,48.2,49.68,13387262
2023-07-14,49.74,50.43,48.235,48.57,23522533
2023-07-13,48.02,49.79,47.69,49.63,25614636
2023-07-12,48.23,48.23,46.85,47.48,22574424
2023-07-11,45.64,47.3,45.505,47.05,24449040
2023-07-10,43.69,45.379,43.53,45.37,15486730
2023-07-07,43.46,44.315,43.4,43.73,9855878
2023-07-06,44.02,44.2,42.749,43.24,16128101
2023-07-05,44.74,45.17,44.35,44.96,8985459
2023-07-03,44.52,45.43,44.52,45.12,7755890
2023-06-30,44.54,44.69,43.99,44.14,12080217
2023-06-29,44.2001,44.51,43.6136,43.79,11056750
2023-06-28,43.26,44.495,43.06,44.18,12814188
2023-06-27,42.3,43.47,42.06,43.32,16946899
2023-06-26,41.86,42.895,41.76,41.9,9556652
2023-06-23,41.93,42.43,41.505,42.14,13766733
2023-06-22,42.29,42.8,41.95,42.67,10918907
2023-06-21,44.3,44.33,42.48,42.66,16387370
2023-06-20,44.01,44.71,43.41,44.26,10835338
2023-06-16,44.95,45.0,44.0839,44.31,12975694
2023-06-15,43.53,44.7,43.325,44.54,16791493
